"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Expression"
"Pastreoides05449",78.359580038558,-6.61649501109924,1.41535459799695,-4.67479670498341,2.94244949064555e-06,0.000274573166604126,"Downregulated"
"Pastreoides64574",3279.21657521559,-2.75779318093009,0.590047430748592,-4.67384999445093,2.95605274009928e-06,0.000274793234841586,"Downregulated"
"Pastreoides27300",102.64307760825,-5.49810424302889,1.17652141255908,-4.67318672175276,2.96561920364481e-06,0.000274793234841586,"Downregulated"
"Pastreoides33794",39.4033102253336,-7.40610766870951,1.58656426226403,-4.66801619377269,3.0412193492829e-06,0.000279834566466421,"Downregulated"
"Pastreoides48299",60.4020258867695,-7.78661724240268,1.66799786678158,-4.66824172708749,3.03788353150418e-06,0.000279834566466421,"Downregulated"
"Pastreoides02705",62.6324001137967,-7.80438291320184,1.67242734188392,-4.66650043188753,3.06373001711281e-06,0.000280927021846928,"Downregulated"
"Pastreoides37987",28.4403924010941,-7.2857467699885,1.56192151122354,-4.66460492261302,3.09210531491855e-06,0.000281812856272218,"Downregulated"
"Pastreoides44935",34.3981741260556,-7.9718956820415,1.70908243104725,-4.66443018617697,3.09473372913296e-06,0.000281812856272218,"Downregulated"
"Pastreoides06247",44.4191643874089,-7.49353938264144,1.60742737282584,-4.66182143549532,3.13423075460916e-06,0.000283454677286708,"Downregulated"
"Pastreoides19339",139.861821864751,-5.13636876697625,1.10174798965143,-4.66201782551135,3.13124061762988e-06,0.000283454677286708,"Downregulated"
"Pastreoides01976",41.6026359453773,-7.76337366873288,1.66574315679375,-4.6606066710044,3.15278711257818e-06,0.00028415973402377,"Downregulated"
"Pastreoides26983",80.3466773934046,-6.73177568040975,1.44599245415489,-4.65547082287103,3.23241182205701e-06,0.000290345344887352,"Downregulated"
"Pastreoides13784",33.5768655168416,-7.14499602417271,1.53604353446003,-4.65155828196263,3.29436138460527e-06,0.000294906764219173,"Downregulated"
"Pastreoides54847",48.5221966471553,-6.13323121314058,1.31882482625914,-4.65052756895512,3.3108698082481e-06,0.000295290948473441,"Downregulated"
"Pastreoides56467",41.3128009318566,-4.94849535482369,1.06421624172435,-4.64989647856308,3.32101680159846e-06,0.000295290948473441,"Downregulated"
"Pastreoides60034",36.5108449385031,-7.33085620708242,1.57701292957659,-4.64857076920143,3.34242944913248e-06,0.000296197573465405,"Downregulated"
"Pastreoides52805",45.1268662257334,-5.67450792513998,1.22113921372844,-4.64689681679642,3.36965604936409e-06,0.000297611628600692,"Downregulated"
"Pastreoides25561",39.3771422457009,-6.62930592566515,1.42701101903342,-4.64558846234802,3.39108420073522e-06,0.000298505838576719,"Downregulated"
"Pastreoides43760",47.8732388645747,-5.62967216740258,1.2125880966549,-4.64269126749045,3.43900031366323e-06,0.000301585636728536,"Downregulated"
"Pastreoides26968",76.9541073595593,-5.17379430503496,1.11453821629366,-4.64209681588143,3.44891178021879e-06,0.000301585636728536,"Downregulated"
"Pastreoides44673",10.2146706749555,-17.8919383791098,3.85498356093341,-4.64124894342677,3.46309601609147e-06,0.000301826533310044,"Downregulated"
"Pastreoides18043",41.6137891172617,6.53877430159165,1.41083551449409,4.6346822392945,3.57486182569301e-06,0.00031054260227928,"Upregulated"
"Pastreoides47729",106.950673080645,-5.80271821807204,1.25267295272506,-4.63226910539485,3.61679603918083e-06,0.000313155245254713,"Downregulated"
"Pastreoides63253",312.509429375808,-4.67333824771127,1.00922983726231,-4.63059857642381,3.64610145084074e-06,0.000314547154372994,"Downregulated"
"Pastreoides49493",51.759110612833,-4.82637318914425,1.04241368394512,-4.62999792067038,3.65669404697475e-06,0.000314547154372994,"Downregulated"
"Pastreoides16950",27.9161041538787,-8.50187485922167,1.83776097021214,-4.62621363551988,3.72411169664328e-06,0.000319306304171934,"Downregulated"
