slice,38_SS,90_DD,96_DS,70_SD,86_DS,95_DS,25_SD,83_DD,94_DD,39_SS,35_SS
146,174.408,198.267,181.535,173.924,138.186,190.244,181.409,168.328,176.376,152.976,198.703
147,174.603,198.241,181.558,173.334,138.534,189.728,181.415,167.929,176.616,152.516,198.792
148,174.852,197.948,180.953,172.696,138.772,189.36,181.888,167.764,176.684,152.339,198.778
149,175.035,197.459,180.35,171.996,139.244,188.939,182.364,167.765,176.938,152.246,198.699
150,175.295,196.959,180.393,171.64,139.713,188.411,182.665,168.168,177.291,152.308,198.531
151,175.419,196,180.145,171.548,139.942,188.119,182.901,168.603,177.69,152.3,198.4
152,175.368,194.793,180.087,171.472,139.769,187.679,183.242,169.278,177.843,152.684,198.263
153,175.315,193.967,179.523,171.371,140.008,187.47,183.217,170.189,178.137,153.138,198.055
154,175.282,193.718,179.684,171.544,140.102,187.89,183.147,170.868,177.957,153.542,197.877
155,175.352,193.181,180.352,171.77,139.938,188.362,183.228,171.697,177.826,154.011,197.699
156,175.566,192.967,180.63,171.554,139.6,188.667,183.328,172.68,178.052,154.615,197.74
157,175.705,193.311,180.559,171.338,139.329,188.93,183.524,173.48,178.359,154.979,198.185
158,175.833,193.915,180.533,170.727,139.109,189.241,183.566,174.723,178.556,155.241,198.567
159,176.021,194.605,180.397,169.785,138.959,189.316,183.355,175.838,178.592,155.474,198.649
160,176.186,195.313,180.55,168.742,138.682,189.674,183.039,176.333,178.733,155.841,198.514
161,176.316,195.373,180.895,168.208,138.548,189.846,182.828,176.954,178.75,156.315,198.359
162,176.431,194.856,181.172,167.667,138.351,189.684,182.73,177.501,178.952,156.759,198.324
163,176.494,194.585,181.768,167.304,138.227,189.484,182.617,177.998,179.095,156.909,198.484
164,176.476,193.864,182.345,167.475,138.011,189.253,182.731,177.684,179.188,157.126,198.428
165,176.517,193.255,182.434,167.969,137.575,189.166,182.827,176.987,179.4,157.345,198.385
166,176.435,192.181,182.165,168.683,137.52,189.233,183.231,176.218,179.625,157.497,198.177
167,176.395,191.295,182.178,169.342,137.812,189.217,183.8,175.546,179.593,157.561,198.228
168,176.524,190.255,182.279,169.461,137.719,189.019,184.304,175.184,179.281,157.679,198.215
169,176.654,189.052,181.717,169.423,137.686,188.635,184.839,174.881,179.277,158.067,197.867
170,176.671,188.295,180.905,169.443,137.843,188.479,185.292,174.696,179.26,158.696,197.525
171,176.733,188.196,180.497,169.485,138.301,188.293,185.622,174.225,179.418,159.329,197.227
172,177.086,188.782,180.299,169.391,139.052,187.693,185.807,173.529,179.509,159.842,197.179
173,177.47,188.715,179.966,169.391,140.086,187.436,185.794,173.009,179.625,160.33,197.233
174,177.613,188.941,179.768,169.524,141.098,187.609,185.918,172.686,179.75,160.68,197.367
175,177.762,189.458,179.527,169.842,141.665,187.507,186.226,172.896,180.229,160.757,197.344
176,177.806,189.812,179.041,170.059,142.184,187.146,186.514,173.506,180.862,161.056,197.176
177,177.688,190.228,178.537,169.891,142.755,186.821,186.936,174.114,181.612,161.359,196.999
178,177.837,190.384,178.389,169.711,143.37,186.427,187.229,174.732,181.978,161.65,197.025
179,178.208,190.401,179.357,169.446,143.731,186.293,187.321,175.689,182.053,161.622,197.283
180,178.539,190.185,179.55,169.334,143.916,186.208,187.193,176,181.533,161.609,197.241
181,178.759,190.188,179.231,169.162,144.211,186.17,186.843,176.17,180.744,161.463,197.099
182,178.908,190.649,179.268,168.988,144.645,185.968,186.301,175.749,180.085,161.525,196.942
183,179.034,190.81,179.671,169.184,144.863,185.945,185.992,174.933,179.529,161.919,196.855
184,179.023,191.113,180.01,169.378,144.631,185.991,185.89,174.287,178.85,162.317,196.516
185,178.958,191.632,180.391,169.78,143.961,186.266,185.856,173.825,178.304,162.617,196.267
186,178.945,192.093,180.431,170.271,143.42,186.601,185.913,173.564,178.01,162.827,195.92
187,178.963,191.984,180.424,170.501,143.032,186.998,186.126,173.157,177.832,163.141,195.609
188,179.01,191.919,180.519,170.958,142.358,187.041,186.311,173.003,177.428,163.308,195.224
189,179.249,191.869,180.501,171.485,142.023,186.744,186.486,172.899,177.45,163.528,194.993
