slice,40_SD,63_SS,48_SD,30_DD,27_DD,271_DD,61_SS,50_DS,29_DD,52_DS,521_DS,46_SD,461_SD,651_SS,65_SS,541_DS,54_DS
139,169.797,160.294,155.447,153.078,170.692,152.977,162.236,134.11,159.912,165.331,181.002,142.234,145.257,181.772,178.734,174.698,162.536
140,170.274,160.513,155.64,153.317,170.422,152.547,162.17,134.048,160.457,164.387,180.094,142.945,145.489,181.533,178.9,174.579,163.057
141,170.734,160.543,156.024,153.316,169.83,152.448,162.238,134.136,161.401,163.388,179.615,143.524,145.781,181.192,178.866,174.125,163.705
142,171.115,160.439,156.227,153.109,168.829,152.675,162.303,134.382,162.412,162.331,178.896,144.561,146.327,180.828,178.891,173.62,163.835
143,171.287,160.543,156.753,152.862,168.204,152.564,162.629,134.695,163.338,161.797,178.423,145.275,147.038,180.532,179.082,172.712,164.373
144,171.515,160.267,157.205,152.645,167.792,152.361,163.39,134.96,163.878,161.183,178.216,146.316,147.089,180.273,179.188,171.56,164.645
145,172.481,160.125,157.499,152.675,167.602,152.146,164.004,134.833,164.336,160.302,177.858,146.861,147.481,179.864,178.907,170.678,164.701
146,173.555,160.528,158.124,152.681,167.383,151.98,164.723,134.775,164.786,159.835,177.426,147.033,147.481,179.633,178.639,169.527,164.448
147,174.507,161.277,158.544,152.693,167.275,152.003,165.086,134.819,165.715,160.176,177.362,146.913,147.692,179.977,178.305,168.667,164.008
148,175.2,161.85,159.048,152.888,166.951,152.281,165.464,134.771,166.302,160.944,177.383,146.724,147.89,180.599,178.33,168.117,163.342
149,175.762,162.835,159.597,152.909,166.934,152.415,166.005,134.538,166.512,161.233,177.258,146.909,147.761,181.249,178.689,167.724,162.743
150,176.088,164.322,160.342,152.462,166.701,152.483,166.395,134.373,166.604,161.392,177.44,147.703,147.808,181.602,178.792,167.465,162.503
151,176.164,165.29,160.959,152.313,166.392,152.59,166.681,134.323,166.348,161.167,177.565,148.404,147.878,181.932,178.777,167.747,162.298
152,176.081,166.137,161.404,152.11,166.371,152.81,166.777,134.248,165.697,160.931,177.227,149.196,147.658,182.494,178.653,168.084,161.95
153,175.953,167.608,161.906,152.017,166.54,152.97,166.853,134.148,164.725,160.465,176.94,149.778,147.39,182.919,178.674,168.133,161.404
154,175.703,168.42,162.298,151.733,166.721,152.909,167.106,134.213,163.837,159.759,176.735,150.719,147.542,183.567,178.756,167.831,160.852
155,175.363,168.952,162.36,151.257,166.775,152.957,167.509,134.635,163.355,158.962,176.431,151.397,147.933,184.249,179.157,167.49,160.344
156,175.188,169.077,162.362,150.96,166.713,152.887,168.066,134.992,163.352,158.47,175.661,151.99,148.657,184.378,179.596,166.838,159.845
157,175.267,169.521,162.242,150.768,166.447,152.979,168.393,135.184,163.709,158.073,174.834,152.425,149.405,184.667,180.141,166.677,159.751
158,175.512,169.892,161.856,150.554,166.348,153.2,168.683,135.324,164.5,157.731,174.001,152.824,150.453,184.763,180.286,166.751,159.332
