slice,38_SS.1,90_DD.1,96_DS.1,70_SD.1,86_DS.1,95_DS.1,25_SD.1,83_DD.1,94_DD.1,39_SS.1,35_SS.1,40_SD,63_SS,63b_SS,48_SD,30_DD,27_DD,27b_DD,61_SS,50_DS,29_DD,52_DS,52b_DS,46_SD,46b_SD,65_SS,65b_SS,54_DS,54b_DS
47,166.013,179.171,167.996,140.719,158.932,196.489,147.746,157.071,173.313,134.742,187.156,163.287,159.84,150.677,151.092,156.212,188.496,162.762,159.457,151.234,169.831,174.427,175.501,127.705,129.387,165.424,161.967,176.645,165.178
48,166.144,179.844,169.536,140.396,159.01,196.424,148.393,157.416,172.948,134.448,187.983,163.408,160.99,149.995,150.701,156.974,188.98,162.423,160.138,151.665,169.56,174.788,176.679,127.849,129.875,166.821,161.983,177.087,165.473
49,166.326,180.071,169.731,140.908,159.476,196.781,149.149,158.107,173.031,133.513,189.035,163.632,161.573,149.334,150.136,157.335,190.502,162.633,161.174,152.249,169.073,174.894,177.753,127.837,129.915,167.649,162.411,177.398,166.033
50,166.318,180.615,170.275,141.825,160.075,197.353,149.391,158.428,173.1,132.613,190.137,164.166,161.88,149.092,149.608,157.379,192.211,162.924,162.592,152.814,168.386,174.746,178.744,127.727,129.991,167.961,162.64,177.228,166.488
51,166.304,181.097,170.629,142.74,160.533,197.454,149.473,159.062,173.203,132.412,190.757,164.565,162.413,149.533,149.406,157.259,193.307,163.217,163.868,153.43,167.945,174.572,179.683,127.542,130.193,168.221,162.815,177.049,166.676
52,166.436,181.539,171.727,143.268,161.021,197.396,149.908,159.499,173.371,132.954,191.238,164.803,162.845,150.789,149.573,157.189,194.535,163.828,164.992,154.116,167.512,174.751,180.655,127.254,130.129,168.742,162.603,177.068,167.178
53,166.664,181.646,173.21,144.025,161.806,197.221,150.724,159.878,173.641,133.801,191.794,165.261,162.997,152.325,149.982,157.102,196.028,163.865,166.05,154.577,166.98,175.397,181.83,126.97,130.094,169.402,162.908,177.112,167.816
54,167.206,181.714,175.356,144.453,162.48,196.609,151.196,160.182,173.821,134.642,191.939,165.568,163.015,153.762,150.516,156.99,197.256,163.915,166.859,155.188,166.651,175.684,182.894,126.64,130.27,170.179,163.219,177.472,168.48
55,167.617,182.195,177.771,144.93,162.808,195.601,151.423,160.652,173.832,135.442,191.972,166.07,163.475,154.668,150.86,156.851,198.24,164.138,167.578,155.566,167.011,175.758,184.059,126.871,130.439,170.775,163.485,177.7,169.135
56,167.873,182.355,179.153,145.556,163.039,194.584,152.018,161.678,173.745,135.991,192.154,166.356,164.429,155.456,151.155,156.863,198.429,164.355,168.138,155.713,167.467,175.921,184.983,127.451,130.605,171.372,163.376,177.508,169.483
57,168.025,182.398,179.844,146.039,163.438,193.545,152.603,162.277,173.575,136.531,192.299,166.877,165.257,156.046,151.249,157.037,198.942,164.634,168.625,155.884,168.034,176.046,185.503,128.242,131.163,171.39,163.379,177.235,169.905
58,168.398,182.484,180.83,146.804,164.056,192.607,153.535,162.794,173.009,136.85,192.195,167.391,165.934,156.875,151.618,157.433,199.028,165.107,169.284,156.01,168.203,176.382,185.742,129.015,131.617,171.393,163.747,177.223,170.194
59,168.985,182.189,181.944,147.862,164.464,192.358,154.314,163.556,172.416,137.275,192.102,167.827,166.622,158.632,151.971,157.766,199.362,165.95,169.536,156.007,168.259,177.224,185.765,129.592,132.188,171.473,164.343,177.545,170.471
60,169.53,182.209,181.838,148.513,164.983,192.278,154.926,163.988,171.885,137.669,192.01,168.415,167.417,159.536,152.276,158.096,199.675,166.401,169.605,155.929,168.156,177.875,186.109,130.007,132.854,171.667,164.651,177.661,170.691
61,170.305,182.375,181.833,149.13,165.184,192.226,155.455,164.076,171.272,138.144,192.019,169.04,167.868,160.861,152.401,158.496,199.581,166.831,169.85,155.994,167.968,178.926,186.482,130.651,133.423,171.85,164.466,177.706,170.96
