slice,40_SD,63_SS,63b_SS,48_SD,30_DD,27_DD,27b_DD,61_SS,50_DS,29_DD,52_DS,52b_DS,46_SD,46b_SD,65_SS,65b_SS,54_DS,54b_DS
144,186.945,182.518,190.48,171.734,164.73,180.64,166.217,181.01,147.108,180.693,174.304,192.531,166.251,161.31,197.979,193.871,181.235,176.625
145,187.908,182.491,190.592,172.3,164.577,180.824,165.772,181.389,146.873,180.976,173.582,192.191,165.863,161.564,198.487,193.959,180.789,176.289
146,188.861,182.379,190.13,172.764,164.144,181.092,165.464,181.457,146.645,181.115,172.7,191.801,165.513,161.613,199.163,194.229,180.126,176.079
147,189.761,182.295,189.75,173.342,163.577,181.185,165.384,181.54,146.61,180.82,172.078,191.66,165.068,161.84,199.411,194.167,179.783,175.618
148,190.525,182.044,189.679,173.989,163.282,180.85,165.539,181.903,146.487,180.052,171.559,191.565,164.67,162.026,199.752,193.891,179.794,175.186
149,191.07,182.133,189.981,174.541,162.938,180.825,165.783,182.266,146.41,179.125,171.139,191.385,164.441,162.062,199.846,193.783,179.616,174.623
150,191.475,182.746,189.939,175.128,162.753,180.841,166.099,182.714,146.513,178.215,170.397,191.408,164.359,162.108,199.92,193.639,179.117,174.119
151,191.516,183.883,190.486,175.412,162.672,181.091,166.371,183.049,146.889,177.861,169.968,191.392,164.758,162.185,200.012,193.738,178.122,173.532
152,191.416,185.24,191.206,175.614,162.675,181.604,166.525,183.341,147.286,177.962,170.013,191.018,165.643,162.119,200.283,193.989,176.976,173.135
153,191.267,186.601,192.08,175.704,162.714,181.91,166.682,183.473,147.571,178.269,169.873,190.792,166.546,161.864,200.62,194.42,175.995,172.867
154,191.118,187.6,192.638,175.648,162.815,182.286,166.62,183.348,147.707,178.913,169.683,190.686,167.451,161.921,200.759,195.174,175.239,172.758
155,190.713,188.284,193.206,175.244,162.819,182.675,166.562,183.263,147.968,179.246,169.626,190.394,168.481,162.345,200.816,195.43,174.489,172.697
156,190.405,189.399,194.464,174.785,162.631,183.131,166.53,183.042,148.287,179.557,169.617,189.767,169.141,163.073,200.909,195.803,174.108,172.64
157,190.343,190.198,195.846,174.433,162.512,183.486,166.519,182.826,148.753,179.776,169.929,188.947,169.625,163.968,201.104,195.973,173.896,172.597
158,190.569,190.958,196.498,174.318,162.436,183.634,166.631,182.768,148.973,180.22,170.326,188.2,169.679,165.004,201.105,196.113,173.972,172.804
159,190.934,191.81,197.036,174.482,162.372,183.735,166.578,182.786,149.222,180.696,170.282,187.436,169.785,165.848,201.182,196.304,174.43,172.98
160,191.11,193.067,197.19,174.685,162.449,183.752,166.688,182.87,149.546,181.244,169.841,186.451,169.881,166.816,201.593,196.672,174.652,172.944
161,191.407,194.408,197.592,174.831,162.881,183.56,166.753,183.033,149.697,182.054,169.599,185.633,169.961,167.507,202.464,197.01,175.043,172.843
162,191.584,195.974,198.246,174.901,163.139,183.418,166.957,183.338,149.895,182.63,169.305,184.836,170.093,167.966,202.99,197.428,175.35,172.813
163,191.514,197.54,198.732,174.969,163.107,183.444,167.477,183.764,150.119,183.278,169.246,184.181,169.857,168.521,203.014,197.714,175.643,172.838
164,191.336,199.358,199.378,175.098,163.089,183.617,168.044,184.104,150.208,183.401,169.179,183.556,169.346,169.136,202.938,198.025,176.247,172.766
165,191.242,201.323,200.481,175.369,163.53,183.535,168.539,184.457,150.244,183.255,169.182,183.078,168.529,169.603,202.763,198.504,176.637,172.742
166,191.501,203.395,201.323,175.79,164.019,183.382,168.738,184.801,150.214,182.897,169.211,182.64,167.695,169.833,202.587,198.845,176.973,172.319
167,192.075,205.428,202.297,176.433,164.288,183.278,168.657,185.135,150.526,182.813,169.388,182.364,166.951,170.146,202.391,199.048,176.616,171.888
168,192.153,207.001,202.577,177.165,164.414,183.641,168.564,185.477,151.113,182.977,169.581,182.276,166.627,170.441,202.526,199.536,176.153,171.497
169,192.275,208.421,203.178,177.784,164.811,183.957,168.79,185.561,151.503,183.308,170.065,182.516,166.779,170.741,202.992,200.11,175.329,171.01
170,192.325,209.989,204.188,178.363,165.187,184.334,168.76,185.686,151.938,183.622,170.509,182.942,166.897,170.905,203.63,200.208,174.188,170.496
171,192.569,211.646,204.753,178.783,165.594,184.56,169.174,185.541,152.305,183.67,170.749,183.448,167.073,171.033,204.461,200.168,172.835,170.231
172,192.707,213.195,205.185,178.974,166.092,184.517,169.837,185.514,152.63,183.638,171.098,183.607,167.589,171.272,205.409,200.194,171.44,169.837
173,193.237,214.897,205.925,179.073,166.384,184.587,170.549,185.461,153.057,183.526,171.409,183.423,167.946,171.581,206.172,200.045,170.45,169.66
174,193.87,216.868,206.705,179.098,166.654,184.732,170.578,185.443,153.522,183.501,171.93,183.333,168.227,171.801,206.596,199.758,169.924,169.845
175,194.757,219.079,207.056,179.234,166.965,184.808,170.333,185.304,153.966,183.858,172.515,182.925,168.73,171.471,206.868,199.701,169.379,170.161
